env_id,random_position,random_orientation,moving_target,target_type,goal_oriented,obs_type,reward_type,action_type,joint_limits,action_min,action_max,alpha_reward,reward_coeff
widowx_reacher-v1,False,False,False,sphere,False,1,1,1,large,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]",0.1,1.0
widowx_reacher-v2,False,False,False,sphere,False,2,1,1,large,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]",0.1,1.0
widowx_reacher-v3,False,False,False,sphere,False,3,1,1,large,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]",0.1,1.0
widowx_reacher-v4,False,False,False,sphere,False,4,1,1,large,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]",0.1,1.0
widowx_reacher-v5,False,False,False,sphere,False,5,1,1,large,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]",0.1,1.0
widowx_reacher-v6,False,False,False,sphere,False,5,1,1,large,"[-0.05, -0.025, -0.025, -0.025, -0.05, -0.0005]","[0.05, 0.025, 0.025, 0.025, 0.05, 0.0005]",0.1,1.0
widowx_reacher-v7,False,False,False,sphere,False,5,1,1,large,"[-2, -2, -2, -2, -2, -2]","[2, 2, 2, 2, 2, 2]",0.1,1.0
widowx_reacher-v8,False,False,False,sphere,False,5,1,1,large,"[-10, -10, -10, -10, -10, -10]","[10, 10, 10, 10, 10, 10]",0.1,1.0
widowx_reacher-v9,False,False,False,sphere,False,5,1,1,large,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]",0.1,1000.0
widowx_reacher-v10,False,False,False,sphere,False,5,1,1,large,"[-1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1]",0.1,0.001
widowx_reacher-v11,False,False,False,sphere,False,5,1,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v12,False,False,False,sphere,False,5,1,1,large,"[-3, -3, -3, -3, -3, -3]","[3, 3, 3, 3, 3, 3]",0.1,1.0
widowx_reacher-v13,False,False,False,sphere,False,5,2,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v14,False,False,False,sphere,False,5,3,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v15,False,False,False,sphere,False,5,4,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v16,False,False,False,sphere,False,5,5,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v17,False,False,False,sphere,False,5,6,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.01,1.0
widowx_reacher-v18,False,False,False,sphere,False,5,7,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.01,1.0
widowx_reacher-v19,False,False,False,sphere,False,5,8,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v20,False,False,False,sphere,False,5,9,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v21,False,False,False,sphere,False,5,10,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v22,False,False,False,sphere,False,5,11,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v23,False,False,False,sphere,False,5,12,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v24,False,False,False,sphere,False,5,13,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v25,False,False,False,sphere,False,5,14,1,large,"[-1.5, -1.5, -1.5, -1.5, -1.5, -1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",0.1,1.0
widowx_reacher-v26,False,False,False,sphere,False,5,15,1,large,"[-2, -2, -2, -2, -2, -2]","[2, 2, 2, 2, 2, 2]",0.1,1.0
widowx_reacher-v27,False,False,False,sphere,False,5,16,1,large,"[-2, -2, -2, -2, -2, -2]","[2, 2, 2, 2, 2, 2]",0.1,1.0
widowx_reacher-v28,True,False,False,sphere,False,5,15,1,large,"[-2, -2, -2, -2, -2, -2]","[2, 2, 2, 2, 2, 2]",0.1,1.0
widowx_reacher-v29,True,False,False,sphere,False,5,16,1,large,"[-2, -2, -2, -2, -2, -2]","[2, 2, 2, 2, 2, 2]",0.1,1.0
widowx_reacher-v30,False,False,False,arrow,False,6,17,1,large,"[-2, -2, -2, -2, -2, -2]","[2, 2, 2, 2, 2, 2]",0.1,1.0
widowx_reacher-v31,False,False,False,arrow,False,6,18,1,large,"[-2.5, -2.5, -2.5, -2.5, -2.5, -2.5]","[2.5, 2.5, 2.5, 2.5, 2.5, 2.5]",0.01,1.0
widowx_reacher-v32,False,False,False,arrow,False,6,19,1,large,"[-2.5, -2.5, -2.5, -2.5, -2.5, -2.5]","[2.5, 2.5, 2.5, 2.5, 2.5, 2.5]",0.01,1.0
widowx_reacher-v33,False,True,False,arrow,False,6,19,1,large,"[-4, -4, -4, -4, -4, -4]","[4, 4, 4, 4, 4, 4]",0.01,1.0
widowx_reacher-v34,False,False,True,sphere,False,5,15,1,large,"[-2, -2, -2, -2, -2, -2]","[2, 2, 2, 2, 2, 2]",0.1,1.0
