env_id,nb_joints,action,obs,reward,random_goal,goal_env,ep_len,actionStepCoeff,bounds,joint_limits,normalize_action,alpha_reward
widowx_reacher-v1,6,act1,obs1,rew1,0,0,100,30,large,small,0,0.1
widowx_reacher-v2,6,act1,obs1,rew1,0,1,100,30,large,small,0,0.1
widowx_reacher-v3,6,act1,obs1,rew1,1,0,100,30,large,small,0,0.1
widowx_reacher-v4,6,act1,obs1,rew1,1,1,100,30,large,small,0,0.1
widowx_reacher-v5,6,act1,obs2,rew1,0,0,100,30,large,small,0,0.1
widowx_reacher-v6,6,act1,obs3,rew1,0,0,100,30,large,small,0,0.1
widowx_reacher-v7,6,act1,obs4,rew1,0,0,100,30,large,small,0,0.1
widowx_reacher-v8,6,act1,obs5,rew1,0,0,100,30,large,small,0,0.1
widowx_reacher-v9,6,act1,obs2,rew1,1,0,100,30,large,small,0,0.1
widowx_reacher-v10,6,act1,obs3,rew1,1,0,100,30,large,small,0,0.1
widowx_reacher-v11,6,act1,obs4,rew1,1,0,100,30,large,small,0,0.1
widowx_reacher-v12,6,act1,obs5,rew1,1,0,100,30,large,small,0,0.1
widowx_reacher-v13,6,act1,obs5,rew1,1,0,100,10,large,large,0,0.1
widowx_reacher-v14,6,act1,obs5,rew1,0,0,100,10,large,large,1,0.1
widowx_reacher-v15,6,act1,obs5,rew2,0,0,100,10,large,large,1,0.1
widowx_reacher-v16,6,act1,obs5,rew3,0,0,100,10,large,large,1,0.1
widowx_reacher-v17,6,act1,obs5,rew4,0,0,100,10,large,large,1,0.1
widowx_reacher-v18,6,act1,obs5,rew5,0,0,100,10,large,large,1,0.1
widowx_reacher-v19,6,act1,obs5,rew6,0,0,100,10,large,large,1,0.1
widowx_reacher-v20,6,act1,obs5,rew7,0,0,100,10,large,large,1,0.1
widowx_reacher-v21,6,act1,obs5,rew8,0,0,100,10,large,large,1,0.1
widowx_reacher-v22,6,act1,obs5,rew9,0,0,100,10,large,large,1,1
widowx_reacher-v23,6,act1,obs5,rew10,0,0,100,10,large,large,1,0.1
widowx_reacher-v24,6,act1,obs5,rew11,0,0,100,10,large,large,1,0.1
widowx_reacher-v25,6,act1,obs5,rew12,0,0,100,10,large,large,1,0.1
widowx_reacher-v26,6,act1,obs5,rew4,0,0,100,10,large,large,1,0.01
widowx_reacher-v27,6,act1,obs5,rew5,0,0,100,10,large,large,1,0.01
widowx_reacher-v28,6,act1,obs5,rew4,0,0,100,10,large,large,1,0.001
widowx_reacher-v29,6,act1,obs5,rew4,0,0,100,10,large,large,1,0.0001
