env_id,nb_joints,action,obs,reward,random_goal,goal_env,ep_len,actionStepCoeff,bounds,joint_limits
widowx_reacher-v1,6,act1,obs1,rew1,0,0,100,30,large,small
widowx_reacher-v2,6,act1,obs1,rew1,0,1,100,30,large,small
widowx_reacher-v3,6,act1,obs1,rew1,1,0,100,30,large,small
widowx_reacher-v4,6,act1,obs1,rew1,1,1,100,30,large,small
widowx_reacher-v5,6,act1,obs2,rew1,0,0,100,30,large,small
widowx_reacher-v6,6,act1,obs3,rew1,0,0,100,30,large,small
widowx_reacher-v7,6,act1,obs4,rew1,0,0,100,30,large,small
widowx_reacher-v8,6,act1,obs5,rew1,0,0,100,30,large,small
widowx_reacher-v9,6,act1,obs2,rew1,1,0,100,30,large,small
widowx_reacher-v10,6,act1,obs3,rew1,1,0,100,30,large,small
widowx_reacher-v11,6,act1,obs4,rew1,1,0,100,30,large,small
widowx_reacher-v12,6,act1,obs5,rew1,1,0,100,30,large,small
widowx_reacher-v13,6,act1,obs5,rew1,1,0,100,10,large,large
widowx_reacher-v14,6,act1,obs5,rew1,0,0,100,10,large,large
widowx_reacher-v15,6,act1,obs5,rew2,0,0,100,10,large,large
widowx_reacher-v16,6,act1,obs5,rew3,0,0,100,10,large,large
widowx_reacher-v17,6,act1,obs5,rew4,0,0,100,10,large,large
widowx_reacher-v18,6,act1,obs5,rew5,0,0,100,10,large,large
widowx_reacher-v19,6,act1,obs5,rew6,0,0,100,10,large,large
